"","X1","Tourney_Address","Tourney_Lat","Tourney_Lon","Tourney_Round","Tourney_Round_Year","Tourney_City","Tourney_State","Tourney_Stadium","Tourney_Postal_Code"
"67",29,"Jacksonville, Florida, Veterans Memorial Arena",-81.645058,30.325811,"Opening rounds",2010,"Jacksonville","Florida","Veterans Memorial Arena","FL"
"68",29,"Jacksonville, Florida, Veterans Memorial Arena",-81.645058,30.325811,"Opening rounds",2015,"Jacksonville","Florida","Veterans Memorial Arena","FL"
"69",29,"Jacksonville, Florida, Veterans Memorial Arena",-81.645058,30.325811,"Opening rounds",2019,"Jacksonville","Florida","Veterans Memorial Arena","FL"
"70",31,"Miami, Florida, American Airlines Arena",-80.186969,25.7814014,"Opening rounds",2009,"Miami","Florida","American Airlines Arena","FL"
"71",32,"Orlando, Florida, Amway Arena",-81.3838535,28.5392214,"Opening rounds",1993,"Orlando","Florida","Amway Arena","FL"
"72",32,"Orlando, Florida, Amway Arena",-81.3838535,28.5392214,"Opening rounds",1996,"Orlando","Florida","Amway Arena","FL"
"73",32,"Orlando, Florida, Amway Arena",-81.3838535,28.5392214,"Opening rounds",1999,"Orlando","Florida","Amway Arena","FL"
"74",32,"Orlando, Florida, Amway Arena",-81.3838535,28.5392214,"Opening rounds",2004,"Orlando","Florida","Amway Arena","FL"
"75",33,"Orlando, Florida, Amway Center",-81.3838535,28.5392214,"Opening rounds",2014,"Orlando","Florida","Amway Center","FL"
"76",33,"Orlando, Florida, Amway Center",-81.3838535,28.5392214,"Opening rounds",2017,"Orlando","Florida","Amway Center","FL"
"77",34,"St. Petersburg, Florida, Tropicana Field",-82.6533921,27.7682246,"Opening rounds",1994,"St. Petersburg","Florida","Tropicana Field","FL"
"78",35,"Tallahassee, Florida, Tallahassee–Leon County Civic Center",-84.2866581,30.4377823,"Opening rounds",1995,"Tallahassee","Florida","Tallahassee–Leon County Civic Center","FL"
"79",36,"Tampa, Florida, USF Sun Dome",-82.4065357,28.0592634,"Opening rounds",1983,"Tampa","Florida","USF Sun Dome","FL"
"80",37,"Tampa, Florida, Amalie Arena",-82.4517771,27.9427373,"Opening rounds",2003,"Tampa","Florida","Amalie Arena","FL"
"81",37,"Tampa, Florida, Amalie Arena",-82.4517771,27.9427373,"Opening rounds",2008,"Tampa","Florida","Amalie Arena","FL"
"82",37,"Tampa, Florida, Amalie Arena",-82.4517771,27.9427373,"Opening rounds",2011,"Tampa","Florida","Amalie Arena","FL"
"83",37,"Tampa, Florida, Amalie Arena",-82.4517771,27.9427373,"Opening rounds",2020,"Tampa","Florida","Amalie Arena","FL"
"84",39,"Atlanta, Georgia, Omni Coliseum",-84.3947761,33.7588731,"Opening rounds",1985,"Atlanta","Georgia","Omni Coliseum","GA"
"85",39,"Atlanta, Georgia, Omni Coliseum",-84.3947761,33.7588731,"Opening rounds",1987,"Atlanta","Georgia","Omni Coliseum","GA"
"86",39,"Atlanta, Georgia, Omni Coliseum",-84.3947761,33.7588731,"Opening rounds",1988,"Atlanta","Georgia","Omni Coliseum","GA"
"87",39,"Atlanta, Georgia, Omni Coliseum",-84.3947761,33.7588731,"Opening rounds",1989,"Atlanta","Georgia","Omni Coliseum","GA"
"88",39,"Atlanta, Georgia, Omni Coliseum",-84.3947761,33.7588731,"Opening rounds",1990,"Atlanta","Georgia","Omni Coliseum","GA"
"89",39,"Atlanta, Georgia, Omni Coliseum",-84.3947761,33.7588731,"Opening rounds",1991,"Atlanta","Georgia","Omni Coliseum","GA"
"90",39,"Atlanta, Georgia, Omni Coliseum",-84.3947761,33.7588731,"Opening rounds",1992,"Atlanta","Georgia","Omni Coliseum","GA"
"91",40,"Atlanta, Georgia, Georgia Dome",-84.3987387,33.7590058,"Opening rounds",1998,"Atlanta","Georgia","Georgia Dome","GA"
"92",43,"Boise, Idaho, Taco Bell Arena",-116.198881,43.6035738,"Opening rounds",1983,"Boise","Idaho","Taco Bell Arena","ID"
"93",43,"Boise, Idaho, Taco Bell Arena",-116.198881,43.6035738,"Opening rounds",1989,"Boise","Idaho","Taco Bell Arena","ID"
"94",43,"Boise, Idaho, Taco Bell Arena",-116.198881,43.6035738,"Opening rounds",1992,"Boise","Idaho","Taco Bell Arena","ID"
"95",43,"Boise, Idaho, Taco Bell Arena",-116.198881,43.6035738,"Opening rounds",1995,"Boise","Idaho","Taco Bell Arena","ID"
"96",43,"Boise, Idaho, Taco Bell Arena",-116.198881,43.6035738,"Opening rounds",1998,"Boise","Idaho","Taco Bell Arena","ID"
"97",43,"Boise, Idaho, Taco Bell Arena",-116.198881,43.6035738,"Opening rounds",2001,"Boise","Idaho","Taco Bell Arena","ID"
"98",43,"Boise, Idaho, Taco Bell Arena",-116.198881,43.6035738,"Opening rounds",2005,"Boise","Idaho","Taco Bell Arena","ID"
"99",43,"Boise, Idaho, Taco Bell Arena",-116.198881,43.6035738,"Opening rounds",2009,"Boise","Idaho","Taco Bell Arena","ID"
"100",43,"Boise, Idaho, Taco Bell Arena",-116.198881,43.6035738,"Opening rounds",2018,"Boise","Idaho","Taco Bell Arena","ID"
"101",43,"Boise, Idaho, Taco Bell Arena",-116.198881,43.6035738,"Opening rounds",2021,"Boise","Idaho","Taco Bell Arena","ID"
"102",44,"Pocatello, Idaho, Reed Gym",-112.4283349,42.8656051,"Opening rounds",1957,"Pocatello","Idaho","Reed Gym","ID"
"103",45,"Pocatello, Idaho, Holt Arena",-112.4285716,42.8699998,"Opening rounds",1972,"Pocatello","Idaho","Holt Arena","ID"
"104",45,"Pocatello, Idaho, Holt Arena",-112.4285716,42.8699998,"Opening rounds",1974,"Pocatello","Idaho","Holt Arena","ID"
"105",45,"Pocatello, Idaho, Holt Arena",-112.4285716,42.8699998,"Opening rounds",1977,"Pocatello","Idaho","Holt Arena","ID"
"106",46,"Carbondale, Illinois, SIU Arena",-89.2187116,37.7083282,"Opening rounds",1969,"Carbondale","Illinois","SIU Arena","IL"
"107",47,"Chicago (Rosemont), Illinois, Allstate Arena",-87.88783,42.005259,"Opening rounds",1987,"Chicago (Rosemont)","Illinois","Allstate Arena","IL"
"108",47,"Chicago (Rosemont), Illinois, Allstate Arena",-87.88783,42.005259,"Opening rounds",1993,"Chicago (Rosemont)","Illinois","Allstate Arena","IL"
