Address	Arena 	City 	State  Abrv	State	Team 	Gender Distinction	Conference 	Capacity 	Opened
"Moscow, ID, Cowan Spectrum[f]"	Cowan Spectrum[f]	Moscow	ID	Idaho	Idaho 		Big Sky 	"7,000"	1975
"Pocatello, ID, Holt Arena"	Holt Arena	Pocatello	ID	Idaho	Idaho State 	Men	Big Sky 	"8,000"	1970
"Missoula, MT, Dahlberg Arena"	Dahlberg Arena	Missoula	MT	Montana	Montana 		Big Sky 	"7,321"	1953
"Bozeman, MT, Worthington Arena"	Worthington Arena	Bozeman	MT	Montana	Montana State 		Big Sky 	"7,250"	1957
"Flagstaff, AZ, Walkup Skydome"	Walkup Skydome	Flagstaff	AZ	Arizona	Northern Arizona 		Big Sky 	"11,230"	1977
"Greeley, CO, Bank of Colorado Arena"	Bank of Colorado Arena	Greeley	CO	Colorado	Northern Colorado 		Big Sky 	"2,992"	1975
"Portland, OR, Peter Stott Center"	Peter Stott Center	Portland	OR	Oregon	Portland State 		Big Sky 	"2,000"	1966
"Sacramento, CA, Hornets Nest"	Hornets Nest	Sacramento	CA	California	Sacramento State 		Big Sky 	"1,012[1] "	1955
"Cedar City, UT, America First Events Center"	America First Events Center	Cedar City	UT	Utah	Southern Utah 		Big Sky 	"5,300"	1985
"Ogden, UT, Dee Events Center"	Dee Events Center	Ogden	UT	Utah	Weber State 		Big Sky 	"11,500"	1977
"Buies Creek, NC, John W. Pope, Jr. Convocation Center"	"John W. Pope, Jr. Convocation Center"	Buies Creek	NC	North Carolina	Campbell 		Big South 	"3,095"	2008
"North Charleston, SC, CSU Field House"	CSU Field House	North Charleston	SC	South Carolina	Charleston Southern 		Big South 	881	1965
"Boiling Springs, NC, Paul Porter Arena"	Paul Porter Arena	Boiling Springs	NC	North Carolina	Gardner–Webb 		Big South 	"5,000"	1982
"Hampton, VA, Hampton Convocation Center"	Hampton Convocation Center	Hampton	VA	Virginia	Hampton 		Big South 	"7,200"	1993
"High Point, NC, Millis Athletic Convocation Center"	Millis Athletic Convocation Center	High Point	NC	North Carolina	High Point 		Big South 	"1,750"	1992
"Farmville, VA, Willett Hall"	Willett Hall	Farmville	VA	Virginia	Longwood 		Big South 	"1,807"	1980
"Clinton, SC, Templeton Physical Education Center"	Templeton Physical Education Center	Clinton	SC	South Carolina	Presbyterian 		Big South 	"2,300"	1975
"Radford, VA, Dedmon Center"	Dedmon Center	Radford	VA	Virginia	Radford 		Big South 	"3,205"	1981
"Asheville, NC, Kimmel Arena"	Kimmel Arena	Asheville	NC	North Carolina	UNC Asheville 		Big South 	"3,200"	2011
"Spartanburg, SC, G. B. Hodge Center"	G. B. Hodge Center	Spartanburg	SC	South Carolina	USC Upstate 		Big South 	878	1973
"Rock Hill, SC, Winthrop Coliseum"	Winthrop Coliseum	Rock Hill	SC	South Carolina	Winthrop 		Big South 	"6,100"	1982
"Champaign, IL, State Farm Center"	State Farm Center	Champaign	IL	Illinois	Illinois 		Big Ten 	"16,618"	1963
"Bloomington, IN, Simon Skjodt Assembly Hall"	Simon Skjodt Assembly Hall	Bloomington	IN	Indiana	Indiana 		Big Ten 	"17,472"	1971
"Iowa City, IA, Carver–Hawkeye Arena"	Carver–Hawkeye Arena	Iowa City	IA	Iowa	Iowa 		Big Ten 	"15,500"	1983
"College Park, MD, Xfinity Center"	Xfinity Center	College Park	MD	Maryland	Maryland 		Big Ten 	"17,950"	2002
"Ann Arbor, MI, Crisler Center"	Crisler Center	Ann Arbor	MI	Michigan	Michigan 		Big Ten 	"12,707"	1967
"East Lansing, MI, Breslin Student Events Center"	Breslin Student Events Center	East Lansing	MI	Michigan	Michigan State 		Big Ten 	"14,797"	1989
"Minneapolis, MN, Williams Arena"	Williams Arena	Minneapolis	MN	Minnesota	Minnesota 		Big Ten 	"14,625"	1928
"Lincoln, NE, Pinnacle Bank Arena"	Pinnacle Bank Arena	Lincoln	NE	Nebraska	Nebraska 		Big Ten 	"15,147"	2013
"Evanston, IL, Welsh-Ryan Arena"	Welsh-Ryan Arena	Evanston	IL	Illinois	Northwestern 		Big Ten 	"8,117"	1952
"Columbus, OH, Value City Arena"	Value City Arena	Columbus	OH	Ohio	Ohio State 		Big Ten 	"18,809"	1998
"University Park, PA, Bryce Jordan Center"	Bryce Jordan Center	University Park	PA	Pennsylvania	Penn State 		Big Ten 	"15,261"	1996
"West Lafayette, IN, Mackey Arena"	Mackey Arena	West Lafayette	IN	Indiana	Purdue 		Big Ten 	"14,848"	1967
"Piscataway, NJ, Louis Brown Athletic Center"	Louis Brown Athletic Center	Piscataway	NJ	New Jersey	Rutgers 		Big Ten 	"8,000"	1977
"Madison, WI, Kohl Center"	Kohl Center	Madison	WI	Wisconsin	Wisconsin 		Big Ten 	"17,249"	1998
"San Luis Obispo, CA, Mott Gym"	Mott Gym	San Luis Obispo	CA	California	Cal Poly 		Big West 	"3,032"	1960
"Fullerton, CA, Titan Gym"	Titan Gym	Fullerton	CA	California	Cal State Fullerton 		Big West 	"4,000"	1964
"Northridge, CA, Matadome"	Matadome	Northridge	CA	California	Cal State Northridge 		Big West 	"2,400"	1962
"Honolulu, HI, Stan Sheriff Center"	Stan Sheriff Center	Honolulu	HI	Hawaii	Hawaii	Men	Big West 	"10,300"	1994
"Long Beach, CA, Walter Pyramid"	Walter Pyramid	Long Beach	CA	California	Long Beach State 		Big West 	"5,000"	1994
"Davis, CA, The Pavilion at ARC"	The Pavilion at ARC	Davis	CA	California	UC Davis 		Big West 	"7,600"	1977
"Irvine, CA, Bren Events Center"	Bren Events Center	Irvine	CA	California	UC Irvine 		Big West 	"4,984"	1987
"Riverside, CA, Student Recreation Center Arena"	Student Recreation Center Arena	Riverside	CA	California	UC Riverside 		Big West 	"3,168"	1994
"Santa Barbara, CA, UC Santa Barbara Events Center"	UC Santa Barbara Events Center	Santa Barbara	CA	California	UC Santa Barbara 		Big West 	"5,600"	1979
"Charleston, SC, TD Arena"	TD Arena	Charleston	SC	South Carolina	Charleston 		CAA 	"5,100"	2008
"Newark, DE, Bob Carpenter Center"	Bob Carpenter Center	Newark	DE	Delaware	Delaware 		CAA 	"5,000"	1992
"Philadelphia, PA, Daskalakis Athletic Center"	Daskalakis Athletic Center	Philadelphia	PA	Pennsylvania	Drexel 		CAA 	"2,509"	1974
"Elon, NC, Schar Center"	Schar Center	Elon	NC	North Carolina	Elon 		CAA 	"5,100"	2018
"Hempstead, NY, Hofstra Arena"	Hofstra Arena	Hempstead	NY	New York	Hofstra 		CAA 	"5,124"	2000
"Harrisonburg, VA, James Madison University Convocation Center"	James Madison University Convocation Center	Harrisonburg	VA	Virginia	James Madison 		CAA 	"7,156"	1982
"Boston, MA, Matthews Arena"	Matthews Arena	Boston	MA	Massachusetts	Northeastern 	Men	CAA 	"6,000"	1910
"Towson, MD, SECU Arena"	SECU Arena	Towson	MD	Maryland	Towson 		CAA 	"5,200"	2013
"Wilmington, NC, Trask Coliseum"	Trask Coliseum	Wilmington	NC	North Carolina	UNC Wilmington 		CAA 	"5,200"	1977
"Williamsburg, VA, Kaplan Arena"	Kaplan Arena	Williamsburg	VA	Virginia	William & Mary 		CAA 	"8,600"	1971
"Charlotte, NC, Dale F. Halton Arena"	Dale F. Halton Arena	Charlotte	NC	North Carolina	Charlotte 		C-USA 	"9,105"	1996
"Boca Raton, FL, FAU Arena"	FAU Arena	Boca Raton	FL	Florida	Florida Atlantic 		C-USA 	"5,000"	1984
"Miami, FL, FIU Arena"	FIU Arena	Miami	FL	Florida	Florida International 		C-USA 	"5,000"	1986
"Ruston, LA, Thomas Assembly Center"	Thomas Assembly Center	Ruston	LA	Louisiana	Louisiana Tech 		C-USA 	"8,098"	1982
